,uniform_label,uniform_label_lvl0,uniform_label_expanded,uniform_label_expanded_merged
72,LYMPHOID PROGENITOR,HSC_MPP,LYMPHOID PROGENITOR,LYMPHOID PROGENITOR
73,TA,EPI,TRANSIT_AMPLIFYING,TRANSIT_AMPLIFYING
74,CD16 MYELOID,MYELOID,CD16 MYELOID,COMMITTED_MONOCYTE_PROGENITOR
75,KUPFFER CELL,MYELOID,KUPFFER CELL,KUPFFER CELL
76,MONOCYTE/MACROPHAGE,MYELOID,MONOCYTE/MACROPHAGE,MONOCYTE/MACROPHAGE
77,MPP,HSC_MPP,MPP,MPP
78,PDC PRECURSOR,LYMPHOID,PDC PRECURSOR,PDC PRECURSOR
79,EARLY ERYTHROID/T CELL,ERYTHROID,EARLY ERYTHROID/T CELL,EARLY ERYTHROID/T CELL
80,NEUTROPHIL-MYELOID PROGENITOR,MYELOID,NEUTROPHIL-MYELOID PROGENITOR,NEUTROPHIL-MYELOID PROGENITOR
81,HEPATOCYTE,HEPATOCYTE,HEPATOCYTE,HEPATOCYTE
82,ERYTHROID/MPP,HSC_MPP,ERYTHROID/MPP,ERYTHROID/MPP
83,VASCULAR,VASCULATURE,VASCULAR,VASCULAR
84,LYMPHATIC,VASCULATURE,LYMPHATIC,LYMPHATIC
85,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
86,HBA ERYTHROID,ERYTHROID,HBA ERYTHROID,HBA ERYTHROID
87,YS ERYTHROID,ERYTHROID,YS ERYTHROID,YS ERYTHROID
88,PERIDERM,STROMAL,PERIDERM,PERIDERM
89,KC STEM CELL,KERATINOCYTES,KC STEM CELL,KC STEM CELL
90,SUPRABASAL CELL,STROMAL,SUPRABASAL CELL,SUPRABASAL CELL
91,BASAL KC,KERATINOCYTES,BASAL KC,BASAL KC
92,ILC,LYMPHOID,ILC,ILC
93,MLP,LYMPHOID,MULTIPOTENT_LYMPHOID_PROGENITOR,MULTIPOTENT_LYMPHOID_PROGENITOR
94,MELANOCYTE,MELANOCYTE,MELANOCYTE,MELANOCYTE
95,MELANOBLAST,MELANOCYTE,MELANOBLAST,MELANOBLAST
96,LANGERHAN CELLS,MYELOID,LANGERHAN CELLS,LANGERHAN CELLS
97,MUSCLE/MYOFIBROBLAST,STROMAL,MUSCLE/MYOFIBROBLAST,MUSCLE/MYOFIBROBLAST
98,MSC,MESENCHYMAL_PROGENITOR,MSC,MSC
99,MID MK,MEGAKARYOCYTE,MID MK,MID MK
100,MONOCYTE/DC PRECURSOR,MYELOID,MONOCYTE/DC PRECURSOR,MONOCYTE/DC PRECURSOR
101,LATE MK,MEGAKARYOCYTE,LATE MK,LATE MK
102,ERYTHROID,ERYTHROID,ERYTHROID,ERYTHROID
103,NEUTROPHIL PROGENITOR,MYELOID,NEUTROPHIL PROGENITOR,NEUTROPHIL PRECURSOR
104,MSC/ENDOTHELIAL CELL,MESENCHYMAL_PROGENITOR,MSC/ENDOTHELIAL CELL,MSC/ENDOTHELIAL CELL
105,DP T CELL,LYMPHOID,DP T CELL,DP T CELL
106,DN T CELL,LYMPHOID,DN T CELL,DN T CELL
107,EPITHELIUM,EPI,EPITHELIUM,EPITHELIUM
108,MACROPHAGE/DC PRECURSOR,MYELOID,MACROPHAGE/DC PRECURSOR,MACROPHAGE/DC PRECURSOR
109,EO/BASOPHIL,EO_BASO_MAST,EO/BASOPHIL,EO/BASOPHIL
110,ENDODERM,EPI,ENDODERM,ENDODERM
111,NEUTROPHIL PRECURSOR,MYELOID,NEUTROPHIL PRECURSOR,NEUTROPHIL PRECURSOR
112,PRE TO PRO B CELL,LYMPHOID,PRE TO PRO B CELL,PRE TO PRO B CELL
113,STROMA PROGENITOR,STROMAL,STROMA PROGENITOR,STROMA PROGENITOR
114,NEPHRON,NEPHRON,NEPHRON,NEPHRON
115,KERATINOCYTES,KERATINOCYTES,KERATINOCYTES,KERATINOCYTES
