,original_cell_type,organ,uniform_label,uniform_label_lvl0,uniform_label_expanded_merged
56,early MK,li,EARLY MK,MEGAKARYOCYTE,EARLY MK
57,ELP,li,ELP,LYMPHOID,ELP
58,Endothelial cell,li,ENDOTHELIAL CELL,VASCULATURE,ENDOTHELIAL CELL
59,eo/baso/mast precursor,li,EO/BASO/MAST PRECURSOR,EO_BASO_MAST,EO/BASO/MAST PRECURSOR
60,erythroid-MPP hybrid,li,ERYTHROID/MPP,HSC_MPP,ERYTHROID/MPP
61,Fibroblast,li,FIBROBLAST,STROMAL,FIBROBLAST
62,GMP,li,GMP,HSC_MPP,GRANULOCYTE_MONOCYTE_PROGENITOR
63,Hepatocyte,li,HEPATOCYTE,HEPATOCYTE,HEPATOCYTE
64,HSC,li,HSC,HSC_MPP,HSC
65,ILC precursor,li,ILC PRECURSOR,LYMPHOID,ILC PRECURSOR
66,Kupffer Cell,li,KUPFFER CELL,MYELOID,KUPFFER CELL
67,Late Erythroid,li,LATE ERYTHROID,ERYTHROID,LATE ERYTHROID
68,macrophage,li,MACROPHAGE,MYELOID,MACROPHAGE
69,Mast cell,li,MAST CELL,EO_BASO_MAST,MAST CELL
70,Megakaryocyte,li,MEGAKARYOCYTE,MEGAKARYOCYTE,MEGAKARYOCYTE
71,MEMP,li,MEMP,HSC_MPP,MEMP
72,MEP,li,MEP,HSC_MPP,MK_ERY_PROGENITOR
73,Mid Erythroid,li,MID ERYTHROID,ERYTHROID,MID ERYTHROID
74,Mono-Mac,li,MONOCYTE/MACROPHAGE,MYELOID,MONOCYTE/MACROPHAGE
75,Monocyte,li,MONOCYTE,MYELOID,MONOCYTE
76,Monocyte precursor,li,MONOCYTE,MYELOID,MONOCYTE
77,MPP,li,MPP,HSC_MPP,MPP
78,myeloid DC progenitor,li,MYELOID DC PROGENITOR,HSC_MPP,MYELOID DC PROGENITOR
79,Neutrophil-myeloid progenitor,li,NEUTROPHIL-MYELOID PROGENITOR,MYELOID,NEUTROPHIL-MYELOID PROGENITOR
80,NK,li,NK,LYMPHOID,NK
81,pDC precursor,li,PDC PRECURSOR,LYMPHOID,PDC PRECURSOR
82,pDC progenitor,li,PDC PROGENITOR,LYMPHOID,PDC PROGENITOR
83,pre-B cell,li,PRE B CELL,LYMPHOID,PRE B CELL
