,original_cell_type,organ,uniform_label,uniform_label_lvl0,uniform_label_expanded_merged
369,muscle stem cell,bm,MUSCLE STEM CELL,MESENCHYMAL_PROGENITOR,MUSCLE STEM CELL
370,myelocyte,bm,MYELOCYTE,MYELOID,MYELOCYTE
371,myeloid DC progenitor,bm,MYELOID DC PROGENITOR,HSC_MPP,MYELOID DC PROGENITOR
372,myofibroblast,bm,MYOFIBROBLAST,STROMAL,MYOFIBROBLAST
373,naive B cell,bm,B CELL,LYMPHOID,B CELL
374,neutrophil,bm,NEUTROPHIL,MYELOID,NEUTROPHIL
375,NK progenitor,bm,NK PROGENITOR,LYMPHOID,NK PROGENITOR
376,NK T cell,bm,NK T,LYMPHOID,NK T
377,osteoblast,bm,OSTEOBLAST,OSTEOCHONDRAL,OSTEOBLAST
378,osteoblast precursor,bm,OSTEOBLAST PRECURSOR,OSTEOCHONDRAL,OSTEOBLAST PRECURSOR
379,osteochondral precursor,bm,OSTEOCHONDRAL PRECURSOR,OSTEOCHONDRAL,OSTEOCHONDRAL PRECURSOR
380,osteoclast,bm,OSTEOCLAST,MYELOID,OSTEOCLAST
381,pDC,bm,PDC,LYMPHOID,PDC
382,pDC progenitor,bm,PDC PROGENITOR,LYMPHOID,PDC PROGENITOR
383,pre B progenitor,bm,PRE B CELL,LYMPHOID,PRE B CELL
384,pre pro B progenitor,bm,PRE PRO B CELL,LYMPHOID,PRE PRO B CELL
385,pro B progenitor,bm,PRO B CELL,LYMPHOID,PRO B CELL
386,proliferating EC,bm,ENDOTHELIAL CELL,VASCULATURE,ENDOTHELIAL CELL
387,promonocyte,bm,PROMONOCYTE,MYELOID,PROMONOCYTE
388,promyelocyte,bm,PROMYELOCYTE,MYELOID,PROMYELOCYTE
389,schwann cells,bm,SCHWANN CELLS,GLIAL,SCHWANN CELLS
390,sinusoidal EC,bm,ERYTHROCYTE,ERYTHROID,ERYTHROID
391,stromal macrophage,bm,MACROPHAGE,MYELOID,MACROPHAGE
392,tDC,bm,DC,MYELOID,DC
393,tip EC,bm,ERYTHROCYTE,ERYTHROID,ERYTHROID
394,Treg,bm,TREG,LYMPHOID,TREG
