,index,0,lfc_mean
126,FXYD2,1,2.956442248566982
127,VAMP5,1,1.574450955140127
129,MIIP,1,1.2828809020347427
130,TEC,1,1.580484016150134
131,CHCHD6,1,1.3020555543705763
133,ADA,1,2.3728935550995653
136,ZNF267,1,1.180130791229001
137,APOL6,1,1.5217756333050931
140,DENND3,1,1.7161107829320064
141,SPPL2B,1,1.3986047952445124
142,ZNF160,1,1.139992327106636
144,TRAFD1,1,1.2591510908457917
145,AKAP7,1,1.7102064490842526
146,CD84,1,2.2205227038633844
151,LPIN1,1,1.8241499274698
153,NLRC5,1,1.0506741498274863
154,DPF3,1,2.2880329179075547
156,IL4R,1,1.3635217037845164
158,WDR44,1,1.3074393242212283
160,RAMP1,1,3.986670692322895
161,WDR45B,1,1.100436600807428
162,GPR82,1,2.360876434588844
163,CPNE8,1,2.5406936919731824
165,MAP1A,1,2.2240589007464067
166,SLC35B2,1,1.217646980562234
167,ACOXL,1,2.3751053385935905
168,THEMIS2,1,1.7592643006273598
169,CCDC144A,1,2.2492775035596884
170,ANXA2R,1,2.488380481406025
172,COCH,1,2.850653334362369
174,S1PR2,1,2.2829712224795604
175,CYB5A,1,1.0532895561214781
177,ERO1A,1,1.4407978153851508
178,GIMAP7,1,2.7343986585292672
179,PASK,1,1.4867597037185527
180,CD82,1,1.2267191269598705
182,BCL11B,1,3.9869067552064377
183,ARHGAP10,1,4.5420113454090405
187,ODF3B,1,1.8073259197808729
191,HDGFL3,1,1.269530253126108
194,PCED1B,1,1.2846283999993504
195,MVP,1,1.368366091851929
197,GATA3,1,3.4978536188709337
199,ASAP1,1,2.2399307621250464
200,TRIM25,1,1.0221008840287662
203,CTSW,1,2.599695197183891
204,HAPLN3,1,2.688757666430376
207,ZNF654,1,1.2098665133631201
208,TRIP10,1,1.649021848916944
210,CEP135,1,1.0622104123514375
212,AIF1,1,1.4546215257427215
213,TRGC1,1,3.633960180944419
216,ZDHHC14,1,4.413772724407292
217,SKIV2L,1,1.102950331850215
218,LRRC41,1,1.3037780695858252
219,AL021453.1,1,1.0512581090743234
220,ZBTB25,1,1.226929874233173
221,CD200R1,1,2.7112508734076584
222,WWC3,1,1.1932536603678623
223,TNIK,1,3.7058013588979257
224,CLIP2,1,1.8510276651684732
226,ROR2,1,inf
227,GRAMD1A,1,1.618318394233458
228,ZNF395,1,2.2086009608658794
232,RALGDS,1,1.388683842732764
233,DDX58,1,1.6617896891937305
234,APOL3,1,1.2531360405931116
235,MAST3,1,1.1517936514550702
236,CYBRD1,1,2.888551824728997
237,ZNF462,1,6.4815955255030335
238,AC091271.1,1,1.261179341435221
241,IPCEF1,1,3.5791899231168305
242,PRDM2,1,1.2510013241790952
243,AC005837.1,1,3.044085450847038
244,TTN,1,1.405205914130037
245,RAB33A,1,2.241216099555793
247,RNF19A,1,1.0181786191597375
249,MGAT4A,1,1.7546236537482474
250,HIST3H2A,1,2.8263660412187783
252,FANCB,1,1.3712524659531358
254,HLA-A,1,1.3133373373129391
258,PRKCH,1,2.4378993601182843
259,GPR137B,1,1.4251105678975025
260,MACO1,1,1.0830494607547638
262,HDAC7,1,1.1533458803906709
264,HLA-C,1,1.1173763268314532
266,GRAMD1B,1,1.918790134622854
267,ZNF300,1,2.164392709093185
268,HTRA2,1,1.3043887146355777
269,RORA,1,2.047484723146015
270,LINC00426,1,1.4531227145034364
271,ZNF667,1,2.106246762118587
272,IVNS1ABP,1,1.2458415893159278
273,ARHGEF12,1,1.785858337325946
274,DHRS13,1,1.8440102229797128
275,COL6A1,1,inf
276,LY6E,1,1.0718751901230557
277,ZNF92,1,1.0415997362600882
278,CDKN1C,1,2.7675033840678007
279,TNFRSF14,1,1.0278726930677111
280,FNBP1,1,1.1620856249143094
281,RAB3A,1,1.3994194537677882
283,AL683813.1,1,1.741191034167676
284,SNED1,1,3.0199531700989795
285,LAPTM5,1,1.283862689201989
286,SORL1,1,1.2004392357164206
288,CLNK,1,3.358447408457395
291,ATP1B1,1,1.9532931119548316
292,FAM213B,1,1.205287707351316
293,DOCK10,1,1.0900815904010417
294,SEPT9,1,1.1790889129053426
295,FGFR1,1,1.5060842880273033
296,ITK,1,2.3373351260853874
298,SLC12A5,1,3.5756033875626487
299,CALCOCO1,1,1.2353881523820298
301,UBASH3A,1,3.34549559302626
302,DPYSL2,1,1.5363587814351127
303,MAN2C1,1,1.1800864878963269
304,MAD1L1,1,1.264460867292027
